109;Poručiks;Briedis Johans;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;100
110;Poručiks;Ozols Roberts;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;100
111;Praporščiks;Balodis Oskars;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;102
112;Praporščiks;Ilziņš Voldemārs;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;110
113;Kapteinis;Veļišovs Aleksandrs;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;150
114;Podporučiks;Vadzis Jānis;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;150
115;Podporučiks;Gregors Jānis;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;150
116;Praporščiks;Spilve Jēkabs;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;150
117;Praporščiks;Rolmanis Roberts;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;150
118;Praporščiks;Birzulis Žanis;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;150
119;Praporščiks;Kleins Aleksandrs;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;150
120;Štābs kapteinis;Rožkalns Kristaps;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;338
121;Poručiks;Sudrabs Fricis;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;338
122;Poručiks;Heimanis Jēkabs;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;353
123;Poručiks;Ilziņš Ģederts;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;353
124;Štābs kapteinis;Lerhs Jānis;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;353
125;Podporučiks;Skrastiņš Ādolfs;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;434
126;Podporučiks;Magonis Ādams;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;434
127;Podporučiks;Miezis Augusts;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;434
128;Praporščiks;Bankovičs Reinis;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;434
129;Praporščiks;Grieze Aleksandrs;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;434
130;Praporščiks;Grinblats Eduards;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;434
131;Praporščiks;Gustavs Jānis;5. Zemgales LSP;Sv. Annas ordenis (Par drosmi);4;;434
132;Pulkvedis;Vācietis Joakims (Jukums);5. Zemgales LSP;Serbijas Baltā ērgļa ordenis ar šķēpiem;4;;401
133;Pulkvedis;Lielgalvis Ansis;6. Tukuma LSP;Sv. Jura zobens;;;164
134;Poručiks;Erdmanis Ādams;6. Tukuma LSP;Sv. Jura zobens;;;74
135;Poručiks;Rozenbergs Jēkabs-Nikolajs;6. Tukuma LSP;Sv. Jura zobens;;;485
136;Poručiks;Braunfelds Fricis;6. Tukuma LSP;Sv. Jura ordenis;4;;485
137;Štābs kapteinis;Graudiņš Krišus;6. Tukuma LSP;Kņaza Vladimira ordenis (ar šķēpiem un lenti);4;;479
138;Poručiks;Zodejevs Nikolajs;6. Tukuma LSP;Kņaza Vladimira ordenis (ar šķēpiem un lenti);4;;135
139;Poručiks;Dravnieks Žanis-Augusts;6. Tukuma LSP;Kņaza Vladimira ordenis (ar šķēpiem un lenti);4;;135
140;Poručiks;Sidorovs Gavrils;6. Tukuma LSP;Kņaza Vladimira ordenis (ar šķēpiem un lenti);4;;135
141;Poručiks;Bērtulsons Fricis;6. Tukuma LSP;Kņaza Vladimira ordenis (ar šķēpiem un lenti);4;;135
142;Poručiks;Glembergs Mārtiņš;6. Tukuma LSP;Kņaza Vladimira ordenis (ar šķēpiem un lenti);4;;488
143;Podporučiks;Puciriņš Vilhelms;6. Tukuma LSP;Kņaza Vladimira ordenis (ar šķēpiem un lenti);4;;135
144;Podporučiks;Poruks Rūdolfs;6. Tukuma LSP;Kņaza Vladimira ordenis (ar šķēpiem un lenti);4;;135
145;Podporučiks;Lapsels Jānis;6. Tukuma LSP;Kņaza Vladimira ordenis (ar šķēpiem un lenti);4;;135
146;Praporščiks;Gasmanis Pāvils;6. Tukuma LSP;Kņaza Vladimira ordenis (ar šķēpiem un lenti);4;;135
147;Poručiks;Klipsons Jānis;6. Tukuma LSP;Sv. Staņislava ordenis ar šķēpiem;2;;54
148;Poručiks;Graudiņš Krišus;6. Tukuma LSP;Sv. Staņislava ordenis ar šķēpiem;2;;92
149;Ārsts;Bukonts Domeniks;6. Tukuma LSP;Sv. Staņislava ordenis ar šķēpiem;2;;191
150;Ārsts;Alksne Jānis;6. Tukuma LSP;Sv. Staņislava ordenis ar šķēpiem;2;;191
151;Poručiks;Ūdentiņš Otto;6. Tukuma LSP;Sv. Staņislava ordenis ar šķēpiem;2;;475
152;Poručiks;Klipsons Jānis;6. Tukuma LSP;Sv. Staņislava ordenis ar šķēpiem un lenti;3;;37
153;Poručiks;Burbe Arnolds-Indriķis;6. Tukuma LSP;Sv. Staņislava ordenis ar šķēpiem un lenti;3;;54
154;Praporščiks;Pillets Vilhelms-Arvīds;6. Tukuma LSP;Sv. Staņislava ordenis ar šķēpiem un lenti;3;;92
155;Praporščiks;Ozoliņš Aleksandrs;6. Tukuma LSP;Sv. Staņislava ordenis ar šķēpiem un lenti;3;;171
156;Podporučiks;Kristsons Alberts-Roberts;6. Tukuma LSP;Sv. Staņislava ordenis ar šķēpiem un lenti;3;;205
157;Podporučiks;Dzinters Oļģerts;6. Tukuma LSP;Sv. Staņislava ordenis ar šķēpiem un lenti;3;;205
158;Praporščiks;Kārklis Ansis;6. Tukuma LSP;Sv. Staņislava ordenis ar šķēpiem un lenti;3;;205
159;Praporščiks;Kesters Frīdrihs;6. Tukuma LSP;Sv. Staņislava ordenis ar šķēpiem un lenti;3;;205
160;Praporščiks;Liepiņš Vilhelms;6. Tukuma LSP;Sv. Staņislava ordenis ar šķēpiem un lenti;3;;205
161;Praporščiks;Muižzemnieks Rūdolfs;6. Tukuma LSP;Sv. Staņislava ordenis ar šķēpiem un lenti;3;;205
162;Praporščiks;Braunfelds Fricis;6. Tukuma LSP;Sv. Staņislava ordenis ar šķēpiem un lenti;3;;205
163;Podporučiks;Kaufelds Teodors;6. Tukuma LSP;Sv. Staņislava ordenis ar šķēpiem un lenti;3;;205
164;Poručiks;Lācis Augusts;6. Tukuma LSP;Sv. Staņislava ordenis ar šķēpiem un lenti;3;;338
165;Podporučiks;Balodis Eduards;6. Tukuma LSP;Sv. Staņislava ordenis ar šķēpiem un lenti;3;;419
166;Praporščiks;Plaucītis Kristians;6. Tukuma LSP;Sv. Staņislava ordenis ar šķēpiem un lenti;3;;419
167;Praporščiks;Vitergrīns Jēkabs;6. Tukuma LSP;Sv. Staņislava ordenis ar šķēpiem un lenti;3;;419
168;Poručiks;Artum-Hartmanis Arnolds;6. Tukuma LSP;Sv. Staņislava ordenis ar šķēpiem un lenti;3;;475
169;Poručiks;Klipsons Jānis;6. Tukuma LSP;Sv. Annas ordenis ar šķēpiem;2;;92
170;Poručiks;Vārna Jānis;6. Tukuma LSP;Sv. Annas ordenis ar šķēpiem;2;;100
171;Poručiks;Ozols Pēteris-Teodors;6. Tukuma LSP;Sv. Annas ordenis ar šķēpiem;2;;164
172;Poručiks;Graudiņš Krišus;6. Tukuma LSP;Sv. Annas ordenis ar šķēpiem;2;;205
173;Kapteinis;Krustiņš Andrejs;6. Tukuma LSP;Sv. Annas ordenis ar šķēpiem un banti;3;;54
174;Poručiks;Bērtulsons Fricis;6. Tukuma LSP;Sv. Annas ordenis ar šķēpiem un banti;3;;54
175;Poručiks;Sidorovs Gavrils;6. Tukuma LSP;Sv. Annas ordenis ar šķēpiem un banti;3;;54
176;Podporučiks;Graudiņš Krišus;6. Tukuma LSP;Sv. Annas ordenis ar šķēpiem un banti;3;;54
177;Podporučiks;Ofenders Roberts;6. Tukuma LSP;Sv. Annas ordenis ar šķēpiem un banti;3;;54
178;Praporščiks;Zemītis Vilhelms;6. Tukuma LSP;Sv. Annas ordenis ar šķēpiem un banti;3;;339
179;Poručiks;Dravnieks Žanis-Augusts;6. Tukuma LSP;Sv. Annas ordenis ar šķēpiem un banti;3;;352
180;Poručiks;Ozols Pēteris-Teodors;6. Tukuma LSP;Sv. Annas ordenis ar šķēpiem un banti;3;;352
181;Štābs kapteinis;Burbe Arnolds-Heinrihs;6. Tukuma LSP;Sv. Annas ordenis ar šķēpiem un banti;3;;419
182;Podporučiks;Zodijevs Nikolajs;6. Tukuma LSP;Sv. Annas ordenis ar šķēpiem un banti;3;;419
183;Poručiks;Dzinters Oļģerts;6. Tukuma LSP;Sv. Annas ordenis ar šķēpiem un banti;3;;475
184;Poručiks;Kaufelds Teodors;6. Tukuma LSP;Sv. Annas ordenis ar šķēpiem un banti;3;;475
185;Podporučiks;Dikmanis Harijs-Aleksandrs;6. Tukuma LSP;Sv. Annas ordenis (Par drosmi);4;;92
186;Praporščiks;Artum-Hartmanis Arnolds;6. Tukuma LSP;Sv. Annas ordenis (Par drosmi);4;;92
187;Praporščiks;Veiss Jānis;6. Tukuma LSP;Sv. Annas ordenis (Par drosmi);4;;92
188;Praporščiks;Kārklis Ansis;6. Tukuma LSP;Sv. Annas ordenis (Par drosmi);4;;92
189;Praporščiks;Āboliņš Hāns;6. Tukuma LSP;Sv. Annas ordenis (Par drosmi);4;;92
190;Praporščiks;Zemels Voldemārs;6. Tukuma LSP;Sv. Annas ordenis (Par drosmi);4;;92
191;Praporščiks;Briedis Jānis;6. Tukuma LSP;Sv. Annas ordenis (Par drosmi);4;;92
192;Praporščiks;Vanags Osvalds;6. Tukuma LSP;Sv. Annas ordenis (Par drosmi);4;;92
193;Podporučiks;Ūdentiņš Otto;6. Tukuma LSP;Sv. Annas ordenis (Par drosmi);4;;102
194;Praporščiks;Dzinters Oļģerts;6. Tukuma LSP;Sv. Annas ordenis (Par drosmi);4;;102
195;Praporščiks;Daibušs Indriķis-Ādolfs;6. Tukuma LSP;Sv. Annas ordenis (Par drosmi);4;;102
196;Praporščiks;Rozenbergs Jēkabs-Nikolajs;6. Tukuma LSP;Sv. Annas ordenis (Par drosmi);4;;102
197;Praporščiks;Kristsons Arvīds-Roberts;6. Tukuma LSP;Sv. Annas ordenis (Par drosmi);4;;102
198;Praporščiks;Veide Krišjānis;6. Tukuma LSP;Sv. Annas ordenis (Par drosmi);4;;102
199;Praporščiks;Čablis Alfrēds;6. Tukuma LSP;Sv. Annas ordenis (Par drosmi);4;;102
200;Praporščiks;Kaufelds Teodors;6. Tukuma LSP;Sv. Annas ordenis (Par drosmi);4;;102
201;Praporščiks;Brake Dāvids-Voldemārs;6. Tukuma LSP;Sv. Annas ordenis (Par drosmi);4;;102
202;Praporščiks;Liepiņš Vilhelms;6. Tukuma LSP;Sv. Annas ordenis (Par drosmi);4;;102
203;Praporščiks;Lāčkāja-Lače Donāts;6. Tukuma LSP;Sv. Annas ordenis (Par drosmi);4;;102
204;Praporščiks;Katoks Eižens;6. Tukuma LSP;Sv. Annas ordenis (Par drosmi);4;;102
205;Praporščiks;Ingermanis Hāns;6. Tukuma LSP;Sv. Annas ordenis (Par drosmi);4;;102
206;Praporščiks;Kesters Frīdrihs;6. Tukuma LSP;Sv. Annas ordenis (Par drosmi);4;;102
207;Praporščiks;Ansons Kārlis;6. Tukuma LSP;Sv. Annas ordenis (Par drosmi);4;;102
208;Praporščiks;Braunfelds Fricis;6. Tukuma LSP;Sv. Annas ordenis (Par drosmi);4;;102
209;Praporščiks;Jozefovičs Antons;6. Tukuma LSP;Sv. Annas ordenis (Par drosmi);4;;102
210;Praporščiks;Šenfelds Kārlis;6. Tukuma LSP;Sv. Annas ordenis (Par drosmi);4;;102
211;Praporščiks;Pupurs Osvalds;6. Tukuma LSP;Sv. Annas ordenis (Par drosmi);4;;102
212;Praporščiks;Jansons Alfrēds;6. Tukuma LSP;Sv. Annas ordenis (Par drosmi);4;;102
213;Praporščiks;Fritsons Jānis;6. Tukuma LSP;Sv. Annas ordenis (Par drosmi);4;;102
214;Praporščiks;Podnieks Kārlis;6. Tukuma LSP;Sv. Annas ordenis (Par drosmi);4;;171
215;Praporščiks;Gasmansi Pāvels-Roberts;6. Tukuma LSP;Sv. Annas ordenis (Par drosmi);4;;205
216;Štābs kapteinis;Burbe Arnolds-Heinrihs;6. Tukuma LSP;Serbijas Baltā ērgļa ordenis;4;;401
217;Podporučiks;Ēvalds Ludvigs-Vilhelms;7. Bauskas LSP;Sv. Jura zobens;;;102
218;Podporučiks;Muižulis Augusts;7. Bauskas LSP;Sv. Jura zobens;;;102
219;Podporučiks;Meldre Hugo;7. Bauskas LSP;Sv. Jura zobens;;;164
220;Kapteinis;Berķis Kārlis;7. Bauskas LSP;Sv. Jura zobens;;;290
221;Kapteinis;Vītols Jānis;7. Bauskas LSP;Sv. Jura ordenis;4;;174
222;Podporučiks;Šturms Pāvels-Aleksandrs;7. Bauskas LSP;Sv. Jura ordenis;4;Kritis;110
223;Podporučiks;Frikhofs Kārlis-Frīdrihs;7. Bauskas LSP;Sv. Jura ordenis;4;;110
224;Poručiks;Stulpiņš Jānis;7. Bauskas LSP;Sv. Jura ordenis;4;;110
225;Kapteinis;Vītols Jānis;7. Bauskas LSP;Kņaza Vladimira ordenis (ar šķēpiem un lenti);4;;236
226;Poručiks;Skudre Alfrēds;7. Bauskas LSP;Kņaza Vladimira ordenis (ar šķēpiem un lenti);4;;135
227;Poručiks;Goževics Augusts;7. Bauskas LSP;Kņaza Vladimira ordenis (ar šķēpiem un lenti);4;Kritis;135
228;Poručiks;Skaidrais Pēteris;7. Bauskas LSP;Kņaza Vladimira ordenis (ar šķēpiem un lenti);4;;236
229;Podporučiks;Taumanis Aleksandrs;7. Bauskas LSP;Kņaza Vladimira ordenis (ar šķēpiem un lenti);4;;135
230;Praporščiks;Strazdiņš Juris;7. Bauskas LSP;Kņaza Vladimira ordenis (ar šķēpiem un lenti);4;;135
231;Praporščiks;Liepiņš Jānis;7. Bauskas LSP;Kņaza Vladimira ordenis (ar šķēpiem un lenti);4;;135
232;Praporščiks;Vītols Emīls;7. Bauskas LSP;Kņaza Vladimira ordenis (ar šķēpiem un lenti);4;;135
233;Podporučiks;Isaļņikovs Aloizs;7. Bauskas LSP;Kņaza Vladimira ordenis (ar šķēpiem un lenti);4;;231
234;Praporščiks;Karls Nikolajs;7. Bauskas LSP;Sv. Staņislava ordenis ar šķēpiem;2;;92
235;Poručiks;Sprancis Kārlis;7. Bauskas LSP;Sv. Staņislava ordenis ar šķēpiem;2;;162
236;Ārsts;Ermanis Eduards;7. Bauskas LSP;Sv. Staņislava ordenis ar šķēpiem;2;;191
